FIPS_Code,State,Area_name,2014,2015,2016,2017,2018,2019,2020
1007,AL,"Bibb County, AL",7.2,6.7,6.5,4.5,4,3.1,6.6
1009,AL,"Blount County, AL",6.1,5.4,5.4,4.2,3.5,2.7,4.1
1021,AL,"Chilton County, AL",6.2,5.7,5.5,4.2,3.6,2.7,5
1073,AL,"Jefferson County, AL",6.3,5.8,5.7,4.4,3.7,2.9,6.2
1115,AL,"St. Clair County, AL",5.7,5.2,5.2,4.1,3.5,2.7,4.9
1117,AL,"Shelby County, AL",4.5,4.2,4.3,3.3,2.8,2.2,3.9
1127,AL,"Walker County, AL",7.9,7.3,7.5,5.2,4.2,3.3,5.8
4013,AZ,"Maricopa County, AZ",5.8,5.1,4.7,4.2,4.1,4.2,7.4
4021,AZ,"Pinal County, AZ",7,6.3,5.6,5.1,5,5,7.5
5035,AR,"Crittenden County, AR",7.2,6.1,4.5,4.4,4.3,4.2,8.3
6001,CA,"Alameda County, CA",5.9,4.8,4.3,3.7,3.1,3,8.8
6013,CA,"Contra Costa County, CA",6.2,5.1,4.5,3.9,3.2,3.1,8.9
6017,CA,"El Dorado County, CA",7.1,5.7,5.2,4.4,3.7,3.6,8.3
6037,CA,"Los Angeles County, CA",8.2,6.7,5.3,4.8,4.7,4.6,12.8
6041,CA,"Marin County, CA",4.3,3.6,3.3,2.9,2.4,2.4,6.7
6059,CA,"Orange County, CA",5.6,4.5,4.1,3.5,3,2.8,8.8
6061,CA,"Placer County, CA",6.3,5.1,4.5,3.9,3.2,3.2,7.3
6065,CA,"Riverside County, CA",8.3,6.7,6.1,5.3,4.5,4.2,9.9
6067,CA,"Sacramento County, CA",7.4,6,5.4,4.7,3.9,3.7,9.3
6069,CA,"San Benito County, CA",9.4,7.6,6.7,5.8,5.1,5,9.9
6071,CA,"San Bernardino County, CA",8.1,6.5,5.8,5,4.1,3.9,9.4
6073,CA,"San Diego County, CA",6.5,5.2,4.7,4,3.4,3.3,9.2
6075,CA,"San Francisco County/city, CA",4.4,3.7,3.3,2.9,2.4,2.2,7.8
6081,CA,"San Mateo County, CA",4.3,3.4,3.1,2.7,2.3,2.1,6.9
6085,CA,"Santa Clara County, CA",5.2,4.2,3.8,3.2,2.7,2.5,7
6113,CA,"Yolo County, CA",7.6,6.5,5.9,5.1,4.3,4.2,7.5
8001,CO,"Adams County, CO",5.7,4.2,3.4,2.8,3.2,2.8,8
8005,CO,"Arapahoe County, CO",4.9,3.6,3,2.6,3,2.6,7.9
8014,CO,"Broomfield County/city, CO",4.2,3.2,2.8,2.4,2.7,2.4,6.6
8019,CO,"Clear Creek County, CO",4.6,3.5,3,2.4,2.8,2.4,8.5
8031,CO,"Denver County/city, CO",4.8,3.6,3,2.6,2.9,2.6,8.2
8035,CO,"Douglas County, CO",4,3,2.5,2.2,2.6,2.3,5.8
8039,CO,"Elbert County, CO",4.3,3,2.5,2.3,2.6,2.1,4.7
8047,CO,"Gilpin County, CO",4.4,3,2.3,1.9,2.3,2.2,11.3
8059,CO,"Jefferson County, CO",4.5,3.4,2.8,2.4,2.8,2.4,7.1
8093,CO,"Park County, CO",4.6,3.3,2.7,2.2,2.6,2.4,5.7
9003,CT,"Hartford County, CT",6.8,5.8,5,4.5,4,3.7,8.1
9007,CT,"Middlesex County, CT",5.7,4.8,4.2,3.8,3.3,3.1,6.5
9013,CT,"Tolland County, CT",5.8,4.9,4.2,3.8,3.4,3.1,6.2
10003,DE,"New Castle County, DE",5.4,4.6,4.4,4.4,3.6,3.5,7.7
11001,DC,District of Columbia,7.7,6.9,6.2,6.1,5.7,5.4,8
12003,FL,"Baker County, FL",6.6,5.6,4.9,4.2,3.5,3.3,4.9
12011,FL,"Broward County, FL",6.1,5.2,4.5,4,3.4,3.2,8.8
12019,FL,"Clay County, FL",5.9,5.1,4.5,3.9,3.4,3.2,5.4
12031,FL,"Duval County, FL",6.9,5.9,5,4.3,3.7,3.5,6.7
12053,FL,"Hernando County, FL",8.2,7,6.1,5.3,4.6,4.4,8.1
12057,FL,"Hillsborough County, FL",6,5.1,4.5,4,3.5,3.3,7.1
12069,FL,"Lake County, FL",6.6,5.6,4.9,4.2,3.6,3.4,8.9
12086,FL,"Miami-Dade County, FL",6.8,6.1,5.5,4.6,3.6,2.6,8
12089,FL,"Nassau County, FL",6.1,5.2,4.5,3.9,3.3,3.1,5.7
12095,FL,"Orange County, FL",6,5.1,4.4,3.8,3.3,3.1,10.6
12097,FL,"Osceola County, FL",6.9,5.8,5,4.4,3.7,3.5,13.5
12099,FL,"Palm Beach County, FL",6,5.2,4.7,4.2,3.7,3.4,7.6
12101,FL,"Pasco County, FL",6.9,5.9,5.2,4.5,3.9,3.7,7.2
12103,FL,"Pinellas County, FL",5.9,5,4.4,3.9,3.4,3.2,7
12109,FL,"St. Johns County, FL",4.8,4,3.8,3.4,3,2.8,5.3
12117,FL,"Seminole County, FL",5.9,5,4.3,3.8,3.3,3.1,7.2
13013,GA,"Barrow County, GA",6.3,5.4,4.8,4.1,3.3,2.9,5.1
13015,GA,"Bartow County, GA",7.2,6,5.2,4.7,3.9,3.4,6.2
13035,GA,"Butts County, GA",7.5,6.8,5.7,4.9,4.1,3.4,6.2
13045,GA,"Carroll County, GA",8.2,6.8,6.1,5.1,4.1,3.6,6.4
13057,GA,"Cherokee County, GA",5.5,4.8,4.3,3.8,3.2,2.8,4.9
13063,GA,"Clayton County, GA",9.3,7.8,6.7,5.9,5,4.4,10.3
13067,GA,"Cobb County, GA",5.9,5.2,4.7,4.1,3.5,3.1,5.9
13077,GA,"Coweta County, GA",6.2,5.4,5,4.2,3.5,3,6.2
13085,GA,"Dawson County, GA",6.1,5.2,4.7,3.9,3.4,2.9,4.7
13089,GA,"DeKalb County, GA",7.3,6.1,5.5,4.9,4.1,3.6,8
13097,GA,"Douglas County, GA",7.4,6.5,5.6,4.9,4.2,3.7,7.4
13113,GA,"Fayette County, GA",6.1,5.3,4.8,4.1,3.6,3.1,5.4
13117,GA,"Forsyth County, GA",5.3,4.6,4.2,3.8,3.2,2.8,4.6
13121,GA,"Fulton County, GA",7.1,6.1,5.5,4.9,4.1,3.6,8
13135,GA,"Gwinnett County, GA",6.1,5.3,4.8,4.3,3.6,3.1,6.3
13143,GA,"Haralson County, GA",8,6.7,5.9,4.8,3.9,3.4,5.9
13149,GA,"Heard County, GA",7.9,6.5,6,5,3.9,3.4,6.5
13151,GA,"Henry County, GA",7.3,6.3,5.6,4.9,4.2,3.7,7.4
13159,GA,"Jasper County, GA",6.7,5.6,4.8,4.4,3.6,3.2,4.9
13171,GA,"Lamar County, GA",9.6,7.8,6.6,5.7,4.7,4,6.3
13199,GA,"Meriwether County, GA",9.8,8.2,7,6,5.1,4.7,8.6
13211,GA,"Morgan County, GA",6.6,5.6,5.1,4.5,3.6,3.2,5.4
13217,GA,"Newton County, GA",8.2,6.9,6.1,5.4,4.6,4,7.1
13223,GA,"Paulding County, GA",6.2,5.3,4.7,4.2,3.5,3,5.4
13227,GA,"Pickens County, GA",6.7,5.4,4.9,4.3,3.6,3.1,4.8
13231,GA,"Pike County, GA",7,5.8,5.2,4.5,3.7,3.1,5
13247,GA,"Rockdale County, GA",7.9,6.6,5.9,5.3,4.5,3.9,7.6
13255,GA,"Spalding County, GA",9.5,8.2,7,5.9,4.8,4.1,7.6
13297,GA,"Walton County, GA",6.5,5.5,5,4.4,3.6,3.2,5.4
17005,IL,"Bond County, IL",6.6,5.3,5.1,4.4,4.3,3.7,6.8
17013,IL,"Calhoun County, IL",8.3,6.7,6.1,5.4,5.1,4.4,7.6
17027,IL,"Clinton County, IL",5.5,4.5,4.5,3.5,3.5,3,5.8
17031,IL,"Cook County, IL",7.6,6.3,6.2,5.2,4.2,4,11.1
17037,IL,"DeKalb County, IL",6.6,5.6,5.3,4.6,4.4,3.9,8.2
17043,IL,"DuPage County, IL",5.8,4.8,4.8,4,3.3,3.1,7.9
17063,IL,"Grundy County, IL",8.8,7,6.9,5.8,4.9,4.7,8.8
17083,IL,"Jersey County, IL",7.2,6.3,5.8,4.8,4.8,4.2,7.4
17089,IL,"Kane County, IL",6.9,5.8,5.5,4.8,4.9,4.3,9.1
17093,IL,"Kendall County, IL",6.5,5.3,5.2,4.4,3.6,3.5,8.4
17097,IL,"Lake County, IL",6.5,5.4,5.2,4.5,4.5,3.9,8.1
