region_id,FIPS,zip
99999,53007,98847
99998,53047,98846
99997,53017,98845
99996,53047,98844
99995,53017,98843
99994,53047,98841
99993,53047,98840
99992,53025,98837
99991,53007,98836
99990,53047,98834
99989,53047,98833
99988,53025,98832
99987,53007,98831
99986,53017,98830
99985,53047,98829
99984,53007,98828
99983,53047,98827
99982,53007,98826
99980,53025,98823
99979,53007,98822
99978,53007,98821
99977,53047,98819
99976,53007,98817
99975,53007,98816
99974,53007,98815
99973,53047,98814
99972,53017,98813
99971,53047,98812
99970,53007,98811
99968,53007,98802
99967,53007,98801
99965,53011,98686
99964,53011,98685
99963,53011,98684
99962,98683,98683
99961,53011,98682
99960,53011,98675
99959,53011,98674
99958,53039,98673
99957,53039,98672
99956,53011,98671
99955,53039,98670
99951,53011,98665
99950,53011,98664
99949,53011,98663
99948,53011,98662
99947,53011,98661
99946,53011,98660
99945,53059,98651
99944,53039,98650
99943,53015,98649
99942,53059,98648
99941,53069,98647
99940,53015,98645
99939,53049,98644
99938,53069,98643
99937,53011,98642
99936,53049,98641
99935,53049,98640
99934,53059,98639
99933,53049,98638
99931,53039,98635
99930,53015,98632
99929,53049,98631
99928,53011,98629
99927,53039,98628
99926,53015,98626
99925,53015,98625
99924,53049,98624
99923,53039,98623
99921,53069,98621
99920,53039,98620
99919,53039,98619
99918,53039,98617
99917,53015,98616
99916,53049,98614
99915,53039,98613
99914,53069,98612
99913,53015,98611
99912,53059,98610
99911,53015,98609
99910,53011,98607
99909,53011,98606
99908,53039,98605
99907,53011,98604
99906,53015,98603
99905,53039,98602
99904,53011,98601
99902,53067,98597
99901,53041,98596
99900,53027,98595
99899,53041,98593
99898,53045,98592
99897,53041,98591
99896,53049,98590
99895,53067,98589
99894,53045,98588
99893,53027,98587
99892,53049,98586
99891,53041,98585
99890,53045,98584
99889,53027,98583
99888,53041,98582
99887,53015,98581
99886,53053,98580
99885,53067,98579
99884,53049,98577
99883,53067,98576
99882,53027,98575
99881,53041,98572
99880,53027,98571
99879,53041,98570
99878,53027,98569
99877,53027,98568
99876,53027,98566
99875,53041,98565
99874,53041,98564
99873,53027,98563
99872,53027,98562
99870,53045,98560
99868,53053,98558
99867,53027,98557
99865,53045,98555
99863,53027,98552
99862,53027,98550
99861,53045,98548
99860,53027,98547
99859,53045,98546
99857,53041,98542
99856,53027,98541
99854,53041,98539
99853,53041,98538
99852,53027,98537
99851,53027,98536
99850,53027,98535
99849,53041,98533
99848,53041,98532
99847,53041,98531
99846,53067,98530
99845,53045,98528
99844,53049,98527
99843,53027,98526
99842,53045,98524
99841,53041,98522
99840,53027,98520
99839,98516,98516
99838,98513,98513
99837,98512,98512
99832,53067,98506
99829,53067,98503
99828,53067,98502
99827,53067,98501
99826,53053,98499
99825,53053,98498
99818,53053,98467
99817,53053,98466
99816,53053,98465
99810,53053,98446
99809,53053,98445
99808,53053,98444
99807,53053,98443
99805,53053,98439
99800,53053,98424
99799,53053,98422
99798,53053,98421
99797,98418,98418
99791,53053,98409
99790,53053,98408
99789,53053,98407
99788,53053,98406
99787,53053,98405
99786,53053,98404
99785,53053,98403
99784,53053,98402
99780,53053,98396
99778,53053,98394
99776,53035,98392
99775,98391,98391
99774,53053,98390
99773,53053,98388
99772,53053,98387
99770,53053,98385
99768,53035,98383
99767,53009,98382
99766,53009,98381
99765,53035,98380
99763,53041,98377
99762,53031,98376
99761,98375,98375
99760,53053,98374
99759,53053,98373
99758,53053,98372
99757,53053,98371
99756,53035,98370
99755,53031,98368
99754,98367,98367
99753,53035,98366
99752,53031,98365
99750,98363,98363
99749,53009,98362
99748,53041,98361
99747,53053,98360
99746,53035,98359
99745,53031,98358
99743,53053,98356
99742,53041,98355
99741,53053,98354
99738,53053,98351
99736,53053,98349
99734,53035,98346
99733,53035,98345
99730,53035,98342
99729,53035,98340
99728,53031,98339
99727,53053,98338
99726,53035,98337
99725,53041,98336
99724,53053,98335
99723,53053,98333
99722,98332,98332
99721,53009,98331
99720,53053,98330
99719,98329,98329
99718,53053,98328
99717,53053,98327
99716,53009,98326
99715,53031,98325
99713,53053,98323
99711,53053,98321
99710,53031,98320
99707,53035,98312
99706,98311,98311
99705,53035,98310
99704,53009,98305
99703,53053,98304
99702,53053,98303
99700,98296,98296
99699,53073,98295
99698,53061,98294
99696,53029,98292
99694,53061,98290
99693,53033,98288
99691,53055,98286
99690,53057,98284
99689,53073,98283
99688,98282,98282
99687,53073,98281
99686,53055,98280
99685,53055,98279
99683,53029,98277
99682,53073,98276
99681,53061,98275
99680,98274,98274
99679,53057,98273
99678,53061,98272
99677,98271,98271
99676,53061,98270
99675,53057,98267
99674,53073,98266
99673,53073,98264
99672,53057,98263
99671,53073,98262
99670,53055,98261
99669,53029,98260
99667,53061,98258
99666,53057,98257
99665,53061,98256
99664,53057,98255
99663,53029,98253
99662,53061,98252
99661,53061,98251
