DATE,MHICO08031A052NCEN
1989-01-01,24845
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,29440
1994-01-01,.
1995-01-01,31944
1996-01-01,.
1997-01-01,35616
1998-01-01,38943
1999-01-01,39093
2000-01-01,41657
2001-01-01,40709
2002-01-01,40082
2003-01-01,41036
2004-01-01,41767
2005-01-01,42576
2006-01-01,41357
2007-01-01,44881
2008-01-01,46305
2009-01-01,46693
2010-01-01,45415
2011-01-01,47584
2012-01-01,50455
2013-01-01,51156
2014-01-01,54872
2015-01-01,57886
2016-01-01,61038
2017-01-01,64974
2018-01-01,68069
2019-01-01,75456
2020-01-01,75355
