date,value
1989-01-01,31123
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,32689
1994-01-01,
1995-01-01,33828
1996-01-01,
1997-01-01,36441
1998-01-01,37655
1999-01-01,38900
2000-01-01,42045
2001-01-01,41573
2002-01-01,41506
2003-01-01,41544
2004-01-01,43518
2005-01-01,48166
2006-01-01,51279
2007-01-01,53494
2008-01-01,55452
2009-01-01,54375
2010-01-01,52595
2011-01-01,52239
2012-01-01,52929
2013-01-01,54443
2014-01-01,55686
2015-01-01,59045
2016-01-01,61308
2017-01-01,64912
2018-01-01,67986
2019-01-01,72721
2020-01-01,75624
