DATE,MHINY36061A052NCEN
1989-01-01,27667
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,31962
1994-01-01,.
1995-01-01,34405
1996-01-01,.
1997-01-01,38224
1998-01-01,41590
1999-01-01,42436
2000-01-01,44085
2001-01-01,42732
2002-01-01,43239
2003-01-01,43930
2004-01-01,45290
2005-01-01,55561
2006-01-01,59542
2007-01-01,63704
2008-01-01,68402
2009-01-01,68295
2010-01-01,63188
2011-01-01,65833
2012-01-01,66739
2013-01-01,71443
2014-01-01,75459
2015-01-01,75136
2016-01-01,77214
2017-01-01,84133
2018-01-01,84610
2019-01-01,93007
2020-01-01,87745
