date,value
1989-01-01,30166
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,34623
1994-01-01,
1995-01-01,37854
1996-01-01,
1997-01-01,43405
1998-01-01,47239
1999-01-01,51291
2000-01-01,55761
2001-01-01,54779
2002-01-01,53087
2003-01-01,51402
2004-01-01,51815
2005-01-01,57476
2006-01-01,64648
2007-01-01,67333
2008-01-01,73127
2009-01-01,70247
2010-01-01,70883
2011-01-01,69354
2012-01-01,72093
2013-01-01,76933
2014-01-01,83788
2015-01-01,90527
2016-01-01,101873
2017-01-01,109601
2018-01-01,110601
2019-01-01,121795
2020-01-01,121722
