DATE,MHICA06111A052NCEN
1989-01-01,39555
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,44827
1994-01-01,.
1995-01-01,46955
1996-01-01,.
1997-01-01,49763
1998-01-01,51710
1999-01-01,53676
2000-01-01,57164
2001-01-01,56525
2002-01-01,57052
2003-01-01,57885
2004-01-01,59379
2005-01-01,66531
2006-01-01,71807
2007-01-01,72762
2008-01-01,76190
2009-01-01,71246
2010-01-01,71418
2011-01-01,74019
2012-01-01,71043
2013-01-01,76513
2014-01-01,74967
2015-01-01,79285
2016-01-01,79470
2017-01-01,82436
2018-01-01,84170
2019-01-01,91446
2020-01-01,90961
