DATE,PI20203
1969-01-01,15387
1970-01-01,19843
1971-01-01,21207
1972-01-01,29222
1973-01-01,36063
1974-01-01,38223
1975-01-01,22516
1976-01-01,22635
1977-01-01,27556
1978-01-01,29836
1979-01-01,47375
1980-01-01,29139
1981-01-01,32430
1982-01-01,32559
1983-01-01,41179
1984-01-01,57943
1985-01-01,64922
1986-01-01,59816
1987-01-01,57875
1988-01-01,57478
1989-01-01,75697
1990-01-01,89219
1991-01-01,89128
1992-01-01,89764
1993-01-01,114307
1994-01-01,83916
1995-01-01,81250
1996-01-01,77775
1997-01-01,63195
1998-01-01,68545
1999-01-01,73951
2000-01-01,68408
2001-01-01,78936
2002-01-01,69828
2003-01-01,72743
2004-01-01,60572
2005-01-01,90266
2006-01-01,77189
2007-01-01,84507
2008-01-01,106197
2009-01-01,103154
2010-01-01,130142
2011-01-01,160114
2012-01-01,149308
2013-01-01,200681
2014-01-01,176398
2015-01-01,152780
2016-01-01,183750
2017-01-01,143105
2018-01-01,129462
2019-01-01,131057
2020-01-01,126580
