DATE,MHIOH39099A052NCEN
1989-01-01,23584
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,27410
1994-01-01,.
1995-01-01,28831
1996-01-01,.
1997-01-01,31236
1998-01-01,32821
1999-01-01,33962
2000-01-01,35842
2001-01-01,35300
2002-01-01,35516
2003-01-01,36413
2004-01-01,36784
2005-01-01,36648
2006-01-01,38609
2007-01-01,39141
2008-01-01,40508
2009-01-01,39339
2010-01-01,38205
2011-01-01,39447
2012-01-01,39982
2013-01-01,41076
2014-01-01,41316
2015-01-01,42443
2016-01-01,42839
2017-01-01,43904
2018-01-01,48010
2019-01-01,48018
2020-01-01,48937
