DATE,ACTLISCOU25025
2016-07-01,910.0
2016-08-01,851.0
2016-09-01,933.0
2016-10-01,1022.0
2016-11-01,931.0
2016-12-01,754.0
2017-01-01,643.0
2017-02-01,623.0
2017-03-01,688.0
2017-04-01,771.0
2017-05-01,886.0
2017-06-01,999.0
2017-07-01,991.0
2017-08-01,940.0
2017-09-01,1076.0
2017-10-01,1092.0
2017-11-01,1022.0
2017-12-01,771.0
2018-01-01,601.0
2018-02-01,590.0
2018-03-01,654.0
2018-04-01,880.0
2018-05-01,1003.0
2018-06-01,1131.0
2018-07-01,1023.0
2018-08-01,945.0
2018-09-01,1190.0
2018-10-01,1353.0
2018-11-01,1304.0
2018-12-01,1034.0
2019-01-01,907.0
2019-02-01,892.0
2019-03-01,1010.0
2019-04-01,1137.0
2019-05-01,1219.0
2019-06-01,1381.0
2019-07-01,1297.0
2019-08-01,1314.0
2019-09-01,1381.0
2019-10-01,1467.0
2019-11-01,1280.0
2019-12-01,959.0
2020-01-01,816.0
2020-02-01,841.0
2020-03-01,912.0
2020-04-01,870.0
2020-05-01,997.0
2020-06-01,1325.0
2020-07-01,1517.0
2020-08-01,1628.0
2020-09-01,1949.0
2020-10-01,2180.0
2020-11-01,2014.0
2020-12-01,1566.0
2021-01-01,1234.0
2021-02-01,1126.0
2021-03-01,1182.0
2021-04-01,1557.0
2021-05-01,1566.0
2021-06-01,1758.0
2021-07-01,1559.0
2021-08-01,1464.0
2021-09-01,1612.0
2021-10-01,1769.0
2021-11-01,1564.0
2021-12-01,1164.0
2022-01-01,861.0
