DATE,ACTLISCOU36061
2016-07-01,5020.0
2016-08-01,4739.0
2016-09-01,5042.0
2016-10-01,5464.0
2016-11-01,5723.0
2016-12-01,5190.0
2017-01-01,5023.0
2017-02-01,5331.0
2017-03-01,5562.0
2017-04-01,5905.0
2017-05-01,6627.0
2017-06-01,6443.0
2017-07-01,5827.0
2017-08-01,5750.0
2017-09-01,5715.0
2017-10-01,6369.0
2017-11-01,5751.0
2017-12-01,5244.0
2018-01-01,4900.0
2018-02-01,5819.0
2018-03-01,6362.0
2018-04-01,7764.0
2018-05-01,8484.0
2018-06-01,8607.0
2018-07-01,7873.0
2018-08-01,7251.0
2018-09-01,7738.0
2018-10-01,8278.0
2018-11-01,8193.0
2018-12-01,7287.0
2019-01-01,6828.0
2019-02-01,7104.0
2019-03-01,7361.0
2019-04-01,7629.0
2019-05-01,8620.0
2019-06-01,8816.0
2019-07-01,8113.0
2019-08-01,7929.0
2019-09-01,7919.0
2019-10-01,8532.0
2019-11-01,8436.0
2019-12-01,7358.0
2020-01-01,6802.0
2020-02-01,7173.0
2020-03-01,6986.0
2020-04-01,7942.0
2020-05-01,6027.0
2020-06-01,6437.0
2020-07-01,8012.0
2020-08-01,10846.0
2020-09-01,11540.0
2020-10-01,12773.0
2020-11-01,12505.0
2020-12-01,11204.0
2021-01-01,9825.0
2021-02-01,9423.0
2021-03-01,9185.0
2021-04-01,9576.0
2021-05-01,9949.0
2021-06-01,9937.0
2021-07-01,9269.0
2021-08-01,10463.0
2021-09-01,11243.0
2021-10-01,12430.0
2021-11-01,13200.0
2021-12-01,12246.0
2022-01-01,10926.0
