DATE,ACTLISCOU6073
2016-07-01,7048.0
2016-08-01,7157.0
2016-09-01,6891.0
2016-10-01,6453.0
2016-11-01,6085.0
2016-12-01,5135.0
2017-01-01,4635.0
2017-02-01,4614.0
2017-03-01,4785.0
2017-04-01,5014.0
2017-05-01,5233.0
2017-06-01,5537.0
2017-07-01,5740.0
2017-08-01,5860.0
2017-09-01,5711.0
2017-10-01,5572.0
2017-11-01,5342.0
2017-12-01,4630.0
2018-01-01,4367.0
2018-02-01,4599.0
2018-03-01,5056.0
2018-04-01,5671.0
2018-05-01,6098.0
2018-06-01,6509.0
2018-07-01,7100.0
2018-08-01,7635.0
2018-09-01,7941.0
2018-10-01,8020.0
2018-11-01,7936.0
2018-12-01,6627.0
2019-01-01,6432.0
2019-02-01,6464.0
2019-03-01,6427.0
2019-04-01,6443.0
2019-05-01,6846.0
2019-06-01,6926.0
2019-07-01,7036.0
2019-08-01,6731.0
2019-09-01,6390.0
2019-10-01,6394.0
2019-11-01,5701.0
2019-12-01,4754.0
2020-01-01,4237.0
2020-02-01,4092.0
2020-03-01,4291.0
2020-04-01,4699.0
2020-05-01,4804.0
2020-06-01,4373.0
2020-07-01,4073.0
2020-08-01,3863.0
2020-09-01,3839.0
2020-10-01,3803.0
2020-11-01,3524.0
2020-12-01,2802.0
2021-01-01,2372.0
2021-02-01,2185.0
2021-03-01,2180.0
2021-04-01,2247.0
2021-05-01,2520.0
2021-06-01,2829.0
2021-07-01,3134.0
2021-08-01,3081.0
2021-09-01,2846.0
2021-10-01,2536.0
2021-11-01,2110.0
2021-12-01,1621.0
2022-01-01,1449.0
