DATE,TOTLISCOU6085
2016-07-01,3510.0
2016-08-01,3579.0
2016-09-01,3473.0
2016-10-01,3355.0
2016-11-01,2853.0
2016-12-01,2369.0
2017-01-01,1561.0
2017-02-01,1985.0
2017-03-01,2318.0
2017-04-01,2671.0
2017-05-01,2933.0
2017-06-01,2942.0
2017-07-01,2663.0
2017-08-01,2575.0
2017-09-01,2373.0
2017-10-01,2242.0
2017-11-01,1958.0
2017-12-01,1481.0
2018-01-01,1151.0
2018-02-01,1632.0
2018-03-01,2082.0
2018-04-01,2319.0
2018-05-01,2711.0
2018-06-01,2875.0
2018-07-01,2960.0
2018-08-01,3057.0
2018-09-01,3171.0
2018-10-01,3351.0
2018-11-01,3149.0
2018-12-01,2313.0
2019-01-01,1815.0
2019-02-01,2298.0
2019-03-01,2837.0
2019-04-01,3244.0
2019-05-01,3618.0
2019-06-01,3769.0
2019-07-01,3622.0
2019-08-01,3453.0
2019-09-01,3340.0
2019-10-01,3317.0
2019-11-01,2822.0
2019-12-01,1843.0
2020-01-01,1433.0
2020-02-01,1901.0
2020-03-01,2212.0
2020-04-01,2081.0
2020-05-01,2508.0
2020-06-01,2975.0
2020-07-01,3113.0
2020-08-01,3226.0
2020-09-01,3346.0
2020-10-01,3416.0
2020-11-01,3212.0
2020-12-01,2471.0
2021-01-01,2033.0
2021-02-01,2485.0
2021-03-01,2920.0
2021-04-01,3113.0
2021-05-01,3188.0
2021-06-01,3236.0
2021-07-01,3109.0
2021-08-01,3034.0
2021-09-01,2917.0
2021-10-01,2854.0
2021-11-01,2300.0
2021-12-01,1602.0
2022-01-01,1153.0
