DATE,ACTLISCOU29189
2016-07-01,4005.0
2016-08-01,4056.0
2016-09-01,3976.0
2016-10-01,3935.0
2016-11-01,3629.0
2016-12-01,3230.0
2017-01-01,2759.0
2017-02-01,2820.0
2017-03-01,2888.0
2017-04-01,3029.0
2017-05-01,3222.0
2017-06-01,3418.0
2017-07-01,3644.0
2017-08-01,3663.0
2017-09-01,3743.0
2017-10-01,3577.0
2017-11-01,3411.0
2017-12-01,2941.0
2018-01-01,2515.0
2018-02-01,2440.0
2018-03-01,2604.0
2018-04-01,2717.0
2018-05-01,2865.0
2018-06-01,3125.0
2018-07-01,3416.0
2018-08-01,3475.0
2018-09-01,3405.0
2018-10-01,3494.0
2018-11-01,3315.0
2018-12-01,2878.0
2019-01-01,2424.0
2019-02-01,2328.0
2019-03-01,2395.0
2019-04-01,2474.0
2019-05-01,2652.0
2019-06-01,2843.0
2019-07-01,3022.0
2019-08-01,2997.0
2019-09-01,2990.0
2019-10-01,3086.0
2019-11-01,2878.0
2019-12-01,2389.0
2020-01-01,2027.0
2020-02-01,1823.0
2020-03-01,1858.0
2020-04-01,1959.0
2020-05-01,1992.0
2020-06-01,1946.0
2020-07-01,1880.0
2020-08-01,1851.0
2020-09-01,1870.0
2020-10-01,1873.0
2020-11-01,1697.0
2020-12-01,1470.0
2021-01-01,1228.0
2021-02-01,1018.0
2021-03-01,1083.0
2021-04-01,1136.0
2021-05-01,1164.0
2021-06-01,1326.0
2021-07-01,1668.0
2021-08-01,1764.0
2021-09-01,1648.0
2021-10-01,1607.0
2021-11-01,1442.0
2021-12-01,1157.0
2022-01-01,1008.0
