DATE,ACTLISCOU6111
2016-07-01,2014.0
2016-08-01,2049.0
2016-09-01,1945.0
2016-10-01,1836.0
2016-11-01,1756.0
2016-12-01,1543.0
2017-01-01,1395.0
2017-02-01,1343.0
2017-03-01,1360.0
2017-04-01,1449.0
2017-05-01,1644.0
2017-06-01,1716.0
2017-07-01,1733.0
2017-08-01,1790.0
2017-09-01,1715.0
2017-10-01,1607.0
2017-11-01,1560.0
2017-12-01,1358.0
2018-01-01,1187.0
2018-02-01,1264.0
2018-03-01,1436.0
2018-04-01,1561.0
2018-05-01,1766.0
2018-06-01,1932.0
2018-07-01,2073.0
2018-08-01,2149.0
2018-09-01,2208.0
2018-10-01,2158.0
2018-11-01,2081.0
2018-12-01,1823.0
2019-01-01,1689.0
2019-02-01,1660.0
2019-03-01,1733.0
2019-04-01,1829.0
2019-05-01,1980.0
2019-06-01,2041.0
2019-07-01,2039.0
2019-08-01,1905.0
2019-09-01,1739.0
2019-10-01,1707.0
2019-11-01,1667.0
2019-12-01,1328.0
2020-01-01,1240.0
2020-02-01,1236.0
2020-03-01,1254.0
2020-04-01,1351.0
2020-05-01,1446.0
2020-06-01,1284.0
2020-07-01,1150.0
2020-08-01,1013.0
2020-09-01,937.0
2020-10-01,972.0
2020-11-01,838.0
2020-12-01,646.0
2021-01-01,551.0
2021-02-01,681.0
2021-03-01,532.0
2021-04-01,542.0
2021-05-01,574.0
2021-06-01,660.0
2021-07-01,741.0
2021-08-01,762.0
2021-09-01,755.0
2021-10-01,682.0
2021-11-01,567.0
2021-12-01,456.0
2022-01-01,393.0
