DATE,ACTLISCOU39099
2016-07-01,1164.0
2016-08-01,1183.0
2016-09-01,1154.0
2016-10-01,1105.0
2016-11-01,1053.0
2016-12-01,966.0
2017-01-01,893.0
2017-02-01,841.0
2017-03-01,852.0
2017-04-01,879.0
2017-05-01,901.0
2017-06-01,902.0
2017-07-01,948.0
2017-08-01,984.0
2017-09-01,991.0
2017-10-01,993.0
2017-11-01,948.0
2017-12-01,906.0
2018-01-01,840.0
2018-02-01,827.0
2018-03-01,771.0
2018-04-01,717.0
2018-05-01,697.0
2018-06-01,714.0
2018-07-01,783.0
2018-08-01,812.0
2018-09-01,810.0
2018-10-01,851.0
2018-11-01,846.0
2018-12-01,778.0
2019-01-01,745.0
2019-02-01,725.0
2019-03-01,716.0
2019-04-01,710.0
2019-05-01,696.0
2019-06-01,730.0
2019-07-01,787.0
2019-08-01,804.0
2019-09-01,825.0
2019-10-01,815.0
2019-11-01,802.0
2019-12-01,746.0
2020-01-01,672.0
2020-02-01,559.0
2020-03-01,503.0
2020-04-01,466.0
2020-05-01,435.0
2020-06-01,382.0
2020-07-01,360.0
2020-08-01,346.0
2020-09-01,316.0
2020-10-01,345.0
2020-11-01,332.0
2020-12-01,301.0
2021-01-01,261.0
2021-02-01,202.0
2021-03-01,198.0
2021-04-01,188.0
2021-05-01,218.0
2021-06-01,254.0
2021-07-01,297.0
2021-08-01,341.0
2021-09-01,340.0
2021-10-01,355.0
2021-11-01,321.0
2021-12-01,278.0
2022-01-01,238.0
