RegionID,SizeRank,RegionName,RegionType,StateName,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31
102001,0,United States,Country,,127215,127559,127921,128658,129402,130143,130899,131705,132529,133357,134193,135049,135848,136583,137330,138127,138949,139755,140567,141406,142239,143075,143841,144574,145241,145938,146673,147451,148280,149152,150098,151086,152064,153045,153971,154894,155736,156595,157475,158427,159445,160460,161519,162638,163821,165004,166071,167091,168107,169273,170575,171999,173573,175248,177032,178787,180496,182123,183644,185189,186707,188300,189955,191855,193833,195894,197932,199983,201966,203808,205455,206931,208179,209386,210647,212013,213315,214409,215209,215814,216150,216394,216470,216514,216496,216515,216523,216540,216382,216032,215423,214779,213995,213179,212152,211114,209876,208535,207034,205466,203884,202214,200423,198379,196382,194461,192565,190675,188833,187390,186036,184776,183475,182285,181218,180188,179236,178495,178155,178013,177942,177836,177845,178012,178082,177871,177158,176212,175092,174003,172887,171876,170922,170065,169254,168403,167520,166677,166013,165430,164918,164379,163930,163525,163297,163187,163356,163679,164156,164607,165069,165509,165997,166576,167284,168080,169051,170136,171376,172629,173962,175319,176680,177942,179144,180297,181375,182406,183429,184482,185352,186067,186717,187385,187972,188377,188757,189244,189887,190615,191351,192170,193074,194013,194946,195750,196457,197135,197859,198617,199350,200219,201186,202238,203157,204146,205103,206074,206943,207776,208648,209586,210642,211730,212825,213946,215108,216350,217538,218676,219673,220672,221765,222969,224235,225532,226822,228192,229524,230842,232058,233171,234203,235181,236157,237122,238096,239088,240107,241048,241856,242555,243200,243801,244353,244912,245545,246258,246993,247820,248804,249948,251233,252454,253301,254008,255106,257022,259531,262350,265374,268418,271650,275006,278663,282524,287231,292759,298643,304039,308663,312760,316645,320978,325677
394913,1,"New York, NY",Msa,NY,223454,224790,225991,228356,230557,232902,235365,237914,240472,243002,245434,247712,249903,252315,254674,257135,259470,261993,264448,267104,269793,272759,275491,278128,280791,283384,285910,288347,290923,293846,296993,300881,304953,309019,312625,316273,319944,323715,327760,331524,335365,339046,342940,346689,350103,353287,356261,359161,362419,365668,369148,372500,376507,380790,385537,390273,395185,400053,404645,408848,412821,416755,420853,425751,430975,436124,440862,445624,450476,455448,459823,464127,467800,471653,474692,477501,479870,482178,483634,484078,483537,482184,480473,478610,476960,475813,475871,475666,475442,473840,472002,470170,468198,466951,465478,464069,462742,461260,459245,457033,453717,450711,447318,444349,441138,437612,433950,430555,426917,423477,420160,416919,414285,411484,408952,406115,404004,402414,401508,400936,400828,401118,400938,400892,400588,401169,401575,401627,400862,399356,397509,395391,394035,392953,392457,391306,390086,388282,386637,384958,383358,381719,379929,378394,376975,375689,374629,373928,373661,373630,373422,373093,372715,372425,372582,373007,373668,374557,375663,377383,379360,381260,382969,384430,385978,387680,389468,391031,392888,394561,396515,398225,399920,401322,402168,402772,403284,403762,404182,404825,405525,406527,407229,408443,409539,410812,411515,411875,412288,412780,414025,414962,415712,416327,417416,419097,420670,421907,422862,423705,424640,425758,427043,428459,430337,431970,434053,435747,438323,440545,442891,444783,446610,448312,449963,451650,453759,456354,459284,462294,464655,466300,467006,467704,468877,470563,472398,473954,474962,475834,476727,477724,478407,478604,478572,478301,477838,477303,477010,477545,478569,480039,481451,482935,483741,484295,485505,488082,492566,498027,504027,509825,514646,519366,523714,528437,533927,541065,548965,556530,562411,566942,570483,573707,577647
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,231141,231946,233179,235523,238036,240408,242839,245389,247818,250040,252096,254262,255926,257729,259651,262329,264956,267378,269856,272439,275117,277773,280086,282520,284527,286893,289710,293293,297369,301527,306760,312211,317759,322714,327634,332496,336589,340369,344552,349228,355055,359664,365681,371968,379423,385571,391548,397519,404546,412248,420976,431016,443328,455451,466199,475068,483998,492782,498581,504545,509861,517262,525031,533015,540699,547913,556406,565452,574743,584183,590561,597158,602742,608196,613160,617309,622532,626471,627717,629148,627379,627531,626308,626352,626512,626209,625115,623187,619717,616513,610559,604110,596202,588716,583068,575975,569634,560078,549640,535608,521248,508006,495987,485371,477844,470361,462283,451536,443868,439704,436728,433697,430685,427008,424474,422808,422911,423582,426477,431279,433216,432701,432966,435917,439662,438903,436315,431609,427491,423388,419666,418342,417628,418028,416266,414496,409578,408373,407181,405199,400791,396689,396241,396465,395846,395107,394430,394944,396025,397700,400296,402336,404732,408400,412763,419208,425542,434753,443779,453632,461740,470202,477577,485337,491858,497040,502774,507831,513513,515989,516964,516253,516277,516419,517265,515825,515365,515852,519036,522815,527407,532344,536205,537616,539527,541489,542682,544095,546112,550420,553783,559601,563511,567783,569567,572794,575924,578828,579578,581205,583464,588020,591750,594578,599031,602090,605447,607016,610196,613964,615519,617219,619420,624190,630119,635300,640211,645384,650408,654956,657506,660371,660803,661680,662130,665387,667240,666729,665569,663420,662077,661647,662614,663632,662697,663421,666134,670434,672446,674256,677231,683327,690287,695409,693500,690600,692341,701511,712123,722085,729573,735908,741042,748530,756399,767442,783105,802909,823806,837248,846358,851116,858319,867616,878396
394463,3,"Chicago, IL",Msa,IL,169006,169405,169921,170954,172049,173133,174334,175680,177071,178440,179684,180899,182038,183045,184188,185311,186695,187975,189268,190577,191899,193312,194484,195545,196449,197503,198774,199842,201039,202134,203602,205101,206552,207885,208840,209992,211104,212454,213669,215059,216254,217347,218359,219660,221127,222514,223742,224841,226174,227442,228744,230203,231813,233678,235363,237081,238528,240048,241564,243296,244892,246592,248249,250150,252126,254142,255992,257749,259640,261497,263094,264629,266118,267593,269090,270383,271809,272622,273312,273772,274129,274279,274360,274625,275203,275754,276115,276057,275741,275247,274594,273907,272816,271750,270731,269498,268251,265218,264625,261937,261810,258627,257655,254266,252195,248505,245555,241616,237276,234253,231057,229791,227529,226157,224569,223134,220668,218490,216349,215711,214594,214303,212794,213374,212603,213357,210837,209448,206721,205015,202102,199602,197336,195580,194467,192893,192207,190755,190327,188958,187814,185369,183960,181704,180617,178485,178338,178016,178471,178349,177538,176715,175751,176099,176487,176796,177525,178597,179579,180873,182104,184178,185843,187894,189489,191654,192626,193961,194699,196190,196964,197426,198095,199191,200062,200273,200601,200854,201310,201838,202330,202962,203856,205131,206090,206137,206102,205927,205946,205939,206166,207014,208092,209899,211230,212192,212651,213018,213641,214089,214544,215047,216065,217555,219402,221084,222867,224148,225106,225249,225327,225486,226133,227030,228163,229589,231180,232525,233320,233801,234251,234681,235090,235386,236030,236529,237299,237913,238444,239180,239642,240146,240204,240132,240093,240024,240020,239913,239921,240133,240610,241214,241740,241866,241700,241670,242675,244329,247194,250031,252814,255024,256545,258854,260954,263976,266711,270507,274647,278737,281790,284434,287113,289816,292436
394514,4,"Dallas-Fort Worth, TX",Msa,TX,130305,130410,130496,130708,130930,131115,131314,131681,132137,132667,133151,133644,133857,133535,133254,133135,133353,133420,133492,133787,134014,134217,134266,134413,134554,134848,135222,135765,136261,136948,137561,138200,138656,139072,139463,139827,140098,140240,140428,140625,140807,141001,141065,141232,141403,141675,141887,141897,142658,144149,146577,148468,149525,149872,150014,150396,150739,151109,151340,151516,152234,152570,152963,153108,153574,154045,154313,154631,154965,154972,155073,154926,154941,155173,155492,156100,156754,157382,157706,157820,158057,158825,159304,159814,159468,159028,158567,158776,159252,159676,160045,160446,161028,161366,161568,161731,160751,159474,157908,157334,156932,156656,156527,155968,155080,153948,153089,152534,152112,152163,152320,152637,152838,152791,152845,152602,152566,152459,152980,153369,153325,153065,152835,153188,153318,153367,152808,151985,150933,150029,149099,148583,148155,147650,147160,146462,146069,145487,145413,145266,145334,145194,145028,144627,144330,144715,145300,145982,146444,147021,147749,148183,148549,148871,149544,150220,151014,151698,152650,153618,154697,155808,156985,157923,158961,160120,161514,162755,163711,164771,165740,166707,167604,168696,169447,170188,170716,171712,172986,174438,176042,177602,179322,181048,182847,184650,186410,187581,188643,189820,191477,193376,195018,196726,198255,200078,202001,203845,205739,207081,208540,210072,212042,214129,215941,217823,219268,220909,222393,223970,225258,226534,228147,229977,231812,233451,235262,237262,239218,240757,241920,243045,244028,245241,246253,247337,248388,249701,251410,252543,253183,253226,253349,253351,253425,254121,255278,255836,256086,255982,256983,257927,259183,259796,260209,260816,261868,264221,266816,269914,272295,274892,277213,280588,284606,290127,296537,303856,311657,319551,326735,332809,338271,344143,351550
394974,5,"Philadelphia, PA",Msa,PA,129210,129643,129903,130549,131072,131664,132207,132786,133428,134093,134698,135233,135776,136428,137177,137954,138674,139431,140303,141266,142293,143225,144215,144982,145799,146571,147558,148662,149792,151064,152403,154104,155902,157694,159189,160714,162129,163560,164885,166417,168124,169991,172008,174107,176228,178138,179919,181415,182890,184317,185961,187817,190080,192678,195602,198726,201506,203823,205751,207911,210269,212310,214242,216269,218971,222007,225195,228225,230991,233715,236076,238283,239874,241449,242992,244835,246672,248371,249746,250634,251087,251314,251288,251100,250768,250721,251229,251800,252646,253000,253218,252716,252069,251626,251234,250740,249770,249407,249290,249439,248730,247496,245752,243946,242011,240186,238568,237093,235718,234771,234365,234139,233601,232735,231558,230473,229427,229006,228959,229043,229221,229257,229441,229649,229976,230115,229657,228496,226797,224918,223046,221558,220446,219769,219155,218200,216823,215200,213737,212556,211395,210330,209359,208636,207880,207170,206879,206862,206804,206322,205632,204962,204556,204233,204152,204074,204370,204689,205240,205848,206746,207680,208571,209136,209747,210185,210752,211094,211680,212246,212617,212467,212482,212652,212934,212801,212627,212551,212726,213052,213372,213627,213979,214479,214755,214853,214898,215160,215367,215393,215370,215384,215640,216013,216293,216704,217128,217882,218388,218921,219354,220047,220762,221764,222845,223765,224437,225015,225647,226128,226459,226940,227597,228614,229640,230772,231690,232899,234360,235856,236832,237337,237806,238335,239127,239857,240906,241907,242937,243683,244541,245193,245821,246046,246476,246923,247394,247807,248309,249184,250105,251100,251600,252622,253430,254743,256356,258953,262097,265757,269258,272920,276133,279235,282319,285628,289957,294765,299274,302878,305727,308169,310638,312907,315442
394692,6,"Houston, TX",Msa,TX,125299,125376,125258,125376,125383,125583,125712,125988,126342,126574,127089,127561,127809,127791,127337,127140,127082,127275,127437,127328,127423,127575,127794,127907,128039,128274,128822,129448,130045,130546,131051,131700,132231,132646,132920,133164,133543,133865,134267,134502,134737,134934,135149,135407,135566,135767,135912,136154,136621,137718,139488,140811,142126,142502,143483,143991,144832,145487,146136,146898,147584,148297,148831,149266,149456,149691,149797,149812,149750,149633,149789,149844,150013,149976,150189,150493,151169,151684,152270,152774,153426,154158,154773,155454,155777,155776,155571,155800,156330,157038,157436,157906,158240,158585,158793,159049,158542,158030,157435,157403,157166,156862,156599,155963,155159,154410,153513,152587,151612,151502,151532,151773,152014,152493,153072,153201,152995,152529,152530,152735,152733,152833,153180,153763,154134,153933,153090,151729,150593,149779,149288,148788,148216,147588,146736,146107,145620,145342,145223,145142,144943,144655,143791,143222,143031,143393,143982,144389,144902,145234,145779,146275,146609,146636,146929,147267,148071,149051,150667,152359,153948,155194,156460,157789,159133,160528,161821,163036,164417,165884,167112,168019,168846,170102,171469,173060,174590,176001,177328,178710,180254,181686,183296,184706,186098,187216,187934,188412,188903,189808,190660,191455,192466,193350,193898,194095,194674,195382,196071,196331,196589,196884,197832,198915,199576,200101,200622,201310,201755,202211,202485,202721,203038,203631,204376,205071,205737,206225,206728,207675,208678,209582,210151,211054,212024,213034,213813,214510,215475,216312,216799,216822,216920,217345,217815,218255,218558,219282,220008,220652,220603,220830,221426,222449,223038,223447,223900,224929,226837,228978,231363,233595,235893,238503,240392,242832,245980,251208,256978,262942,267783,272047,275190,278584,282014
395209,7,"Washington, DC",Msa,DC,191888,192133,192510,193310,194422,195645,197168,198813,200458,202105,203713,205593,207251,208765,210384,212430,214772,217145,219547,222025,224438,226714,229007,231287,233364,235312,237433,240014,242981,246191,249668,253303,256738,259848,262567,265255,267608,270372,273276,276594,279866,283342,286953,290507,294137,297772,301178,304314,307228,310834,314902,319918,325601,332110,339565,347020,354526,360490,365695,370855,376790,382647,388793,396103,404651,412993,420638,427328,433907,439746,444397,448657,452309,456142,460054,463326,465784,466651,466917,466385,464104,460974,458519,457032,455763,454421,453243,452729,451474,448783,445235,441588,438694,435125,431245,426642,422484,417889,412572,406702,399968,393681,387110,381136,374919,369483,364828,360941,356538,352283,348275,345094,343149,341719,340279,338474,336460,335368,335348,336564,338364,339310,340615,341981,343738,343973,342962,341242,339823,338611,337191,336211,335843,336663,337028,337178,336244,335766,334529,333436,331860,330902,330992,331140,331437,331959,333555,335066,336155,337113,338180,339034,339745,341286,343763,346522,349478,352171,354717,356898,359109,361012,362899,364852,367758,370623,373555,375426,377257,379194,380875,382053,381864,381388,381026,380537,380578,380721,381189,381491,381283,381964,382742,383032,382752,382340,382136,381716,381646,382268,383019,384066,384910,385176,385341,386109,387473,388294,388689,388950,390023,391104,392371,393862,395942,398582,399982,400724,400243,400572,400953,402294,403648,405512,407410,408644,409544,410486,412029,413691,415322,416762,417894,418712,419450,420493,421459,423104,424795,426735,428012,428788,429084,429337,429258,430121,431409,433385,435172,436589,437592,438705,440029,441942,443012,444615,447257,451323,456004,460627,465476,470098,474597,479403,485194,491985,499155,505892,510913,514500,516946,519809,522710,526104,529871
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,126285,126751,127167,127986,128660,129344,130061,130817,131619,132406,133262,134183,135065,136011,137146,138414,139878,141354,143091,145016,147033,149088,150842,152492,153966,155409,156767,158263,159838,161509,163278,165311,167216,169044,170645,172715,174762,176910,179082,181401,183806,185982,188130,190362,192792,195174,197508,199542,201887,204064,206566,209057,212320,215904,219813,223923,228056,232123,235876,239990,243918,248220,252873,258039,263863,270066,276981,283641,290057,295618,300516,304905,309298,313173,317583,323136,328579,333265,336022,337936,338967,339224,339762,339696,339171,338280,336364,334008,331016,327887,324168,320101,315674,311953,307184,302661,296293,290675,283764,277995,271676,266329,260017,253145,245766,238468,231836,225933,220479,215769,210806,206353,201549,197760,194301,191475,188861,187045,185647,184151,183253,182813,182916,182617,181878,180412,178973,177391,176028,174066,172478,171048,169715,168479,167376,166666,165681,164568,163432,162746,162380,162293,162411,162512,162918,162985,163443,163868,164690,165545,166462,167813,169514,171233,172716,174306,176492,179056,181839,184742,187504,189685,192175,194842,197978,200914,204514,208023,211429,213708,215809,216824,218333,219504,221424,222871,224396,226040,227091,228551,229739,231528,232614,233819,234768,235995,237004,238220,239811,241294,243240,245019,246980,248526,249732,250980,252336,254236,256223,257953,259255,260635,262265,264137,265616,266919,267751,268992,270229,271579,272781,274368,275827,277623,278703,280188,281100,282801,284620,286222,287935,289412,291144,292237,293093,293862,295778,297453,299112,299291,299838,300247,300531,301057,301367,301488,301416,302005,302765,303193,303945,306014,307966,309612,310641,311478,312123,313498,315828,318598,321152,324206,327546,330591,334458,338135,343879,350157,357590,365065,373251,381499,389214,396515,404601
394347,9,"Atlanta, GA",Msa,GA,153054,153564,154087,155148,156185,157209,158175,159224,160286,161428,162436,163537,164531,165513,166352,167159,167993,168772,169534,170308,171090,171853,172553,173249,173910,174609,175203,175823,176328,176836,177238,177660,178090,178563,178972,179307,179652,179980,180380,180712,181034,181326,181592,181958,182307,182651,182921,183266,183526,183841,184134,184644,185097,185490,185834,186325,186847,187388,187784,188204,188674,189224,189741,190319,191014,191801,192454,193071,193678,194313,194922,195529,196151,196730,197200,197696,198207,198848,199567,200220,200711,201031,201235,201574,201829,202159,202515,202958,203382,203621,203774,203705,203331,202730,201826,201051,199695,198307,196623,195553,194595,193610,192314,190805,189196,187306,184728,181462,178199,175387,173043,170692,168493,166678,165418,164429,163333,162095,161014,160334,159512,158808,158213,158275,158306,158052,156615,154717,152203,150226,148164,146402,144522,143098,141562,139875,137599,135539,133943,133209,132972,132876,132571,131470,130737,130110,130840,131564,132558,133529,134553,135085,134963,135060,135874,137010,138404,139963,141839,143560,145453,147409,149397,151578,153853,156124,158060,160043,161684,163162,164290,165437,166486,167376,168358,169114,169881,170589,171443,172375,173279,174097,174755,175611,176746,177978,178799,179562,180368,181258,182205,183183,184377,185529,186894,188317,189568,190390,190951,191472,191988,192963,194180,195890,197123,198464,199501,200712,201926,203301,204741,205901,207478,209000,210811,212718,214796,216815,218251,219626,220952,222384,223889,225406,227096,228827,230457,231954,233074,234165,235314,236546,237553,237954,238442,239147,240120,240915,241675,242759,243922,245402,246464,247520,248051,248908,250269,252384,255078,258036,261142,264471,267793,271701,275664,280429,285825,292574,299906,307303,314331,321709,329212,336989,344420
