DATE,TXHIDA5POP
1970-01-01,181.535
1971-01-01,193.400
1972-01-01,204.900
1973-01-01,217.000
1974-01-01,223.800
1975-01-01,238.700
1976-01-01,249.000
1977-01-01,258.700
1978-01-01,266.100
1979-01-01,275.500
1980-01-01,283.323
1981-01-01,298.559
1982-01-01,313.256
1983-01-01,326.453
1984-01-01,334.571
1985-01-01,341.145
1986-01-01,350.514
1987-01-01,358.307
1988-01-01,365.499
1989-01-01,377.106
1990-01-01,387.200
1991-01-01,403.571
1992-01-01,424.312
1993-01-01,447.508
1994-01-01,468.906
1995-01-01,487.593
1996-01-01,503.411
1997-01-01,519.903
1998-01-01,537.929
1999-01-01,555.875
2000-01-01,573.001
2001-01-01,588.349
2002-01-01,607.212
2003-01-01,627.365
2004-01-01,646.601
2005-01-01,665.652
2006-01-01,683.870
2007-01-01,702.073
2008-01-01,721.604
2009-01-01,740.385
2010-01-01,779.091
2011-01-01,795.305
2012-01-01,807.93
2013-01-01,818.047
2014-01-01,829.065
2015-01-01,838.741
2016-01-01,847.759
2017-01-01,854.739
2018-01-01,860.765
2019-01-01,867.221
2020-01-01,875.2
