DATE,CAMERC0POP
1970-01-01,104.629
1971-01-01,108.000
1972-01-01,110.500
1973-01-01,114.400
1974-01-01,117.900
1975-01-01,121.500
1976-01-01,126.400
1977-01-01,126.600
1978-01-01,128.400
1979-01-01,131.800
1980-01-01,134.557
1981-01-01,139.632
1982-01-01,142.766
1983-01-01,147.657
1984-01-01,151.357
1985-01-01,155.939
1986-01-01,158.988
1987-01-01,162.956
1988-01-01,167.749
1989-01-01,172.988
1990-01-01,179.953
1991-01-01,186.091
1992-01-01,189.489
1993-01-01,193.137
1994-01-01,197.798
1995-01-01,195.291
1996-01-01,194.819
1997-01-01,198.312
1998-01-01,202.264
1999-01-01,206.734
2000-01-01,212.140
2001-01-01,217.959
2002-01-01,223.724
2003-01-01,229.175
2004-01-01,233.659
2005-01-01,238.047
2006-01-01,240.604
2007-01-01,243.123
2008-01-01,244.481
2009-01-01,245.560
2010-01-01,256.709
2011-01-01,259.249
2012-01-01,260.776
2013-01-01,261.888
2014-01-01,264.241
2015-01-01,266.133
2016-01-01,267.37
2017-01-01,270.837
2018-01-01,273.733
2019-01-01,277.114
2020-01-01,279.252
