DATE,CASAND5POP
1970-01-01,1357.854
1971-01-01,1391.900
1972-01-01,1433.100
1973-01-01,1499.600
1974-01-01,1540.700
1975-01-01,1616.900
1976-01-01,1642.800
1977-01-01,1715.500
1978-01-01,1775.400
1979-01-01,1827.600
1980-01-01,1861.846
1981-01-01,1927.018
1982-01-01,1972.354
1983-01-01,2018.133
1984-01-01,2066.419
1985-01-01,2126.090
1986-01-01,2196.834
1987-01-01,2275.309
1988-01-01,2364.284
1989-01-01,2444.380
1990-01-01,2512.365
1991-01-01,2553.122
1992-01-01,2593.126
1993-01-01,2599.776
1994-01-01,2614.685
1995-01-01,2623.697
1996-01-01,2651.549
1997-01-01,2692.600
1998-01-01,2736.720
1999-01-01,2789.593
2000-01-01,2826.314
2001-01-01,2867.449
2002-01-01,2896.140
2003-01-01,2907.988
2004-01-01,2922.175
2005-01-01,2927.956
2006-01-01,2933.959
2007-01-01,2960.625
2008-01-01,3003.793
2009-01-01,3037.115
2010-01-01,3103.26
2011-01-01,3137.236
2012-01-01,3175.148
2013-01-01,3210.788
2014-01-01,3249.307
2015-01-01,3280.825
2016-01-01,3305.462
2017-01-01,3319.019
2018-01-01,3332.483
2019-01-01,3330.459
2020-01-01,3332.427
