DATE,CASANF0POP
1970-01-01,715.674
1971-01-01,708.100
1972-01-01,700.200
1973-01-01,700.000
1974-01-01,698.400
1975-01-01,686.100
1976-01-01,686.100
1977-01-01,679.400
1978-01-01,677.700
1979-01-01,675.800
1980-01-01,678.974
1981-01-01,686.915
1982-01-01,695.546
1983-01-01,704.809
1984-01-01,713.196
1985-01-01,727.977
1986-01-01,737.396
1987-01-01,736.499
1988-01-01,730.471
1989-01-01,725.889
1990-01-01,723.496
1991-01-01,729.708
1992-01-01,734.861
1993-01-01,740.277
1994-01-01,742.316
1995-01-01,746.386
1996-01-01,753.934
1997-01-01,762.953
1998-01-01,770.262
1999-01-01,774.716
2000-01-01,777.340
2001-01-01,784.677
2002-01-01,779.447
2003-01-01,775.663
2004-01-01,773.556
2005-01-01,777.835
2006-01-01,786.187
2007-01-01,799.185
2008-01-01,807.904
2009-01-01,815.184
2010-01-01,805.519
2011-01-01,815.694
2012-01-01,828.963
2013-01-01,839.695
2014-01-01,850.918
2015-01-01,863.237
2016-01-01,871.343
2017-01-01,877.471
2018-01-01,879.676
2019-01-01,878.826
2020-01-01,866.606
