DATE,CASANT5POP
1970-01-01,1065.313
1971-01-01,1100.500
1972-01-01,1138.800
1973-01-01,1163.900
1974-01-01,1164.600
1975-01-01,1192.800
1976-01-01,1206.700
1977-01-01,1231.600
1978-01-01,1260.400
1979-01-01,1271.400
1980-01-01,1295.071
1981-01-01,1324.722
1982-01-01,1345.039
1983-01-01,1374.018
1984-01-01,1396.226
1985-01-01,1419.520
1986-01-01,1429.933
1987-01-01,1447.591
1988-01-01,1472.234
1989-01-01,1498.121
1990-01-01,1498.307
1991-01-01,1513.118
1992-01-01,1531.886
1993-01-01,1549.185
1994-01-01,1561.366
1995-01-01,1580.245
1996-01-01,1608.695
1997-01-01,1637.414
1998-01-01,1658.960
1999-01-01,1671.498
2000-01-01,1685.849
2001-01-01,1690.359
2002-01-01,1673.321
2003-01-01,1669.027
2004-01-01,1669.675
2005-01-01,1683.013
2006-01-01,1700.372
2007-01-01,1724.156
2008-01-01,1755.961
2009-01-01,1782.913
2010-01-01,1786.001
2011-01-01,1811.891
2012-01-01,1837.605
2013-01-01,1866.05
2014-01-01,1891.286
2015-01-01,1915.736
2016-01-01,1928.144
2017-01-01,1932.251
2018-01-01,1931.985
2019-01-01,1922.411
2020-01-01,1907.105
