DATE,MOSLPOP
1970-01-01,951.671
1971-01-01,953.000
1972-01-01,947.000
1973-01-01,962.700
1974-01-01,956.800
1975-01-01,965.300
1976-01-01,967.300
1977-01-01,966.900
1978-01-01,968.900
1979-01-01,971.400
1980-01-01,974.177
1981-01-01,975.668
1982-01-01,978.444
1983-01-01,979.300
1984-01-01,981.028
1985-01-01,984.907
1986-01-01,985.176
1987-01-01,988.256
1988-01-01,990.825
1989-01-01,991.700
1990-01-01,995.198
1991-01-01,999.619
1992-01-01,1003.544
1993-01-01,1007.949
1994-01-01,1012.647
1995-01-01,1015.210
1996-01-01,1017.517
1997-01-01,1018.015
1998-01-01,1015.518
1999-01-01,1016.040
2000-01-01,1016.275
2001-01-01,1015.549
2002-01-01,1012.919
2003-01-01,1009.328
2004-01-01,1004.318
2005-01-01,999.499
2006-01-01,996.460
2007-01-01,993.603
2008-01-01,992.202
2009-01-01,992.086
2010-01-01,998.846
2011-01-01,1000.147
2012-01-01,1000.975
2013-01-01,1000.746
2014-01-01,1000.903
2015-01-01,1001.585
2016-01-01,998.393
2017-01-01,997.116
2018-01-01,995.9
2019-01-01,995.467
2020-01-01,994.02
