,"('Sex and Age', '10 to 14 years')","('Sex and Age', '45 to 54 years')","('Place of Birth', 'State of residence')","('Residence 1 Year Ago', 'Abroad')","('Occupation', 'Civilian employed population 16 years and over')","('Occupation', 'Management, business, science, and arts occupations')","('Occupation', 'Natural resources, construction, and maintenance occupations')",Civilian employed population 16 years and over,Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services",Private wage and salary workers,"$25,000 to $34,999","$35,000 to $49,999","$150,000 to $199,000","$200,000 or more",Median household income (dollars),Mean household income (dollars),With private health insurance,With public coverage,Civilian noninstitutionalized population under 19 years,Population 25 years and over,High school graduate (includes equivalency),"Some college, no degree",Bachelor's degree,Graduate or professional degree,Percent bachelor's degree or higher,Asian,value_price
0,5.925650192,10.75522717,71.58764161,0.146086908,42.0938187,15.72513186,3.896306389,42.0938187,0.724675343,1.914300363,3.720861632,29.47879282,3.679142582,4.767490044,2.616360329,2.542755002,8.629381729,11.8653472,61.17670195,47.24647249,21.62886902,70.60408341,17.71121147,20.16785948,12.24418988,5.978044823,2580,3.043805002,312100
1,6.207635433,12.90353089,61.29547707,0.471321252,48.53917232,21.77083539,4.175547757,48.53917232,1.034394171,3.26918245,7.332934331,35.0832964,2.804636706,4.344229667,3.422760624,6.78214202,11.29971176,17.85078074,67.56296282,40.99944384,20.89481871,72.663932,12.25675222,16.55411796,19.46433966,11.54207731,4270,3.944051245,694400
2,6.252621356,11.61163307,63.68126423,0.82017859,44.37180724,15.32922913,5.411405761,44.37180724,0.585728443,2.282448919,4.364450901,31.88085381,2.579480849,3.70767295,3.19418479,2.872278916,9.683770149,12.87530877,64.59524934,38.8721519,24.70525039,65.10106363,15.72205221,16.14887849,11.05249857,6.670847606,2720,11.26485325,397600
3,6.387782625,12.54991383,65.59026981,0.519394146,45.26475114,19.80282553,3.596434971,45.26475114,0.797301684,3.298073649,5.745269898,33.51398643,2.327640583,3.38516718,3.795298533,5.117008839,11.39790395,14.96161287,74.02923703,36.74198937,21.3588966,72.88910354,15.25905047,18.6855211,17.29242049,8.384599752,3520,5.921568317,473100
4,6.138785134,12.8173239,61.26802852,0.33798301,51.29394881,19.73771196,5.208436629,51.29394881,0.985026278,2.556082592,5.9565718,39.71892595,2.064395817,3.956356945,3.711064467,4.860261792,11.82472262,15.51347525,71.95870382,35.72896352,21.10052447,71.53422801,15.33153737,17.2657808,14.97069161,8.83493648,3330,11.67570158,583600
5,6.644474086,10.63172124,62.12051262,0.781770538,47.41944106,16.98167258,4.177670239,47.41944106,0.768470336,3.069661088,5.87523643,34.08624414,3.454983292,4.010650393,2.605177104,2.352984808,8.272597875,10.89248193,59.79962734,43.48245332,26.08438211,65.82461893,16.62627583,15.65280334,13.07090159,6.429113119,2960,15.1678575,356100
6,6.548710927,13.31535099,60.84306459,0.497311899,48.57810823,20.20992033,3.532196419,48.57810823,0.71524103,3.68338558,5.635628836,34.93460804,2.182330956,3.859156195,3.426469733,3.856777345,10.28006999,13.46601151,69.99846696,37.31081531,23.20965073,70.29978802,14.52790392,17.98807403,15.6044659,8.110690554,3370,17.75005683,421700
7,7.967941867,10.53350495,65.92558388,0.303742097,36.56200445,10.91383928,3.853805624,36.56200445,0.408814466,1.127454166,3.756613683,26.35878619,3.521721638,4.323727968,1.854527306,1.052382723,7.761529964,10.09731637,50.19970663,46.2571425,29.14942535,61.94762695,18.09788597,16.49193777,6.77122289,3.973671076,1730,2.37684758,270000
8,8.49397928,11.95047875,65.33092301,0.201030376,43.55721849,13.39323478,6.022248381,43.55721849,0.596339158,2.025718639,3.965317801,34.30472536,2.643715062,3.333817437,3.076350776,3.072146719,9.202681424,12.4617176,60.18936093,42.51448489,27.86334521,64.33965725,18.1681521,14.0318693,9.871763513,4.611468668,2250,16.25135676,409900
9,8.058740238,11.98822267,68.34763009,0.249065514,43.73342015,12.11517417,6.329271147,43.73342015,0.534869826,1.463929953,4.081275111,34.55944167,2.544259792,3.743042835,2.419792406,1.978534606,9.105861342,11.46328931,60.78022224,41.25806194,27.65437813,63.96878379,19.07802615,16.56357577,8.411877222,3.130119408,1800,7.362533487,372000
10,5.886448666,13.2951624,52.26269229,0.962372502,49.64951196,22.36186878,3.516114873,49.64951196,0.964462629,3.912716328,9.00439449,38.95185394,1.71886757,2.434735808,4.118201864,7.584153708,13.53095477,19.49016596,70.41922707,34.89753156,23.35781394,69.94842613,11.50274852,13.19562014,18.44222891,12.87779032,4480,14.81063456,735200
11,3.49219824,12.87841872,39.52699583,1.346457662,61.68276432,38.12834691,1.515983094,61.68276432,4.384707319,5.011258951,17.38469193,51.20219434,1.787198137,2.41221096,5.068451343,13.43790394,16.32291389,22.58265968,75.87135046,28.64505324,14.17255688,80.0554997,9.140524016,9.903131989,28.71699255,20.02977595,6090,32.79060403,1226000
12,5.094233368,12.4190878,50.73489151,0.994031648,53.88619163,29.36301599,2.659031408,53.88619163,2.057904327,3.253135368,10.77866896,40.42247971,2.377326246,3.074826145,4.143380904,7.191415146,11.90210811,16.44762768,70.7645707,33.16135359,19.7575983,71.99101561,10.72014296,10.48005629,21.66502577,17.06306112,5380,20.71209238,858500
13,5.133381787,13.22094807,45.21427225,0.991547552,56.17917037,28.16670704,3.253115831,56.17917037,2.424560553,4.089746696,11.31416727,45.57242456,1.261137581,2.22845837,4.428921371,10.38224447,16.95604189,23.51907185,78.93321489,27.30383052,19.4655307,73.39430402,11.77151471,11.52211365,21.08468599,15.26205281,4950,36.28899836,1161400
