,"('Sex and Age', 'Under 5 years')","('Sex and Age', '10 to 14 years')","('Sex and Age', '15 to 19 years')","('Sex and Age', '20 to 24 years')","('Sex and Age', '25 to 34 years')","('Sex and Age', '35 to 44 years')","('Sex and Age', '45 to 54 years')","('Sex and Age', '55 to 59 years')","('Sex and Age', '60 to 64 years')","('Sex and Age', '65 to 74 years')","('Sex and Age', '75 to 84 years')","('Sex and Age', '85 years and over')","('Sex and Age', 'Total population')","('Place of Birth', 'Native')","('Place of Birth', 'Born in United States')","('Place of Birth', 'State of residence')","('Place of Birth', 'Different state')","('Place of Birth', 'Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)')","('Place of Birth', 'Foreign born')","('Residence 1 Year Ago', 'Same house')","('Residence 1 Year Ago', 'Different house in the U.S.')","('Residence 1 Year Ago', 'Same county')","('Residence 1 Year Ago', 'Different county')","('Residence 1 Year Ago', 'Same state')","('Residence 1 Year Ago', 'Different state')","('Residence 1 Year Ago', 'Abroad')","('Commuting to Work', 'Car, truck, or van -- drove alone')","('Commuting to Work', 'Car, truck, or van -- carpooled')","('Commuting to Work', 'Public transportation (excluding taxicab)')","('Commuting to Work', 'Walked')","('Commuting to Work', 'Worked from home')","('Commuting to Work', 'Mean travel time to work (minutes)')","('Occupation', 'Civilian employed population 16 years and over')","('Occupation', 'Management, business, science, and arts occupations')","('Occupation', 'Service occupations')","('Occupation', 'Sales and office occupations')","('Occupation', 'Natural resources, construction, and maintenance occupations')","('Occupation', 'Production, transportation, and material moving occupations')",Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,Civilian employed population 16 years and over,Private wage and salary workers,Total households,"Less than $10,000","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 to $199,000","$200,000 or more",Median household income (dollars),Mean household income (dollars),Civilian noninstitutionalized population,With health insurance coverage,With private health insurance,With public coverage,No health insurance coverage,Civilian noninstitutionalized population under 19 years,No health insurance coverage.1,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,One race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,"('Value', 'Median (dollars)')"
0,0.054090082,0.059256502,0.061558775,0.062876367,0.127633603,0.116889192,0.107552272,0.063904594,0.076933018,0.127500158,0.06336941,0.022258588,711905,0.937155941,0.92700571,0.715876416,0.211129294,0.010150231,0.062844059,0.824350159,0.163613123,0.091765053,0.07184807,0.06114299,0.01070508,0.001460869,0.320566649,0.038152562,0.001670167,0.010040666,0.033379454,22.9,0.420938187,0.157251319,0.08833482,0.082779303,0.038963064,0.053609681,0.420938187,0.015186015,0.032401795,0.030127615,0.006696118,0.0476749,0.022465076,0.007246753,0.019143004,0.037208616,0.106911737,0.045112761,0.020921331,0.029842465,0.420938187,0.294787928,0.381122481,0.021240194,0.018357787,0.039064201,0.036791426,0.0476749,0.061110682,0.05162627,0.053665868,0.026163603,0.02542755,0.086293817,0.118653472,0.97746188,0.917408924,0.611767019,0.472464725,0.060052957,0.21628869,0.006784613,0.706040834,0.020544876,0.046694433,0.177112115,0.201678595,0.077788469,0.122441899,0.059780448,90.5,25.8,0.945933797,0.847806941,0.015610229,0.016277453,0.03043805,0.002948427,0.032852698,0.054066203,312100
1,0.045050068,0.062076354,0.063547204,0.05343617,0.107492018,0.120121282,0.129035309,0.067951284,0.079253678,0.135354881,0.063547204,0.023883665,708434,0.873115915,0.857070666,0.612954771,0.244115895,0.016045249,0.126884085,0.849364937,0.13767267,0.075388815,0.062283854,0.045305561,0.016978293,0.004713213,0.320710186,0.047342448,0.02332892,0.019963751,0.052143178,27,0.485391723,0.217708354,0.08920097,0.099512446,0.041755478,0.037214476,0.485391723,0.013128958,0.039457451,0.031571043,0.011113244,0.057013074,0.014382427,0.010343942,0.032691825,0.073329343,0.104692886,0.053702956,0.021359788,0.022604787,0.485391723,0.350832964,0.403509713,0.016200521,0.021756437,0.025195008,0.028046367,0.043442297,0.055319197,0.048189387,0.063311473,0.034227606,0.06782142,0.112997118,0.178507807,0.986367114,0.933400994,0.675629628,0.409994438,0.05296612,0.208948187,0.006143127,0.72663932,0.029412761,0.037556074,0.122567522,0.16554118,0.061497613,0.194643397,0.115420773,90.8,42.7,0.948726346,0.798658732,0.018319279,0.02468261,0.039440512,0.002326258,0.065298955,0.051273654,694400
2,0.065761149,0.062526214,0.073018255,0.084581992,0.143559699,0.124642272,0.116116331,0.058652229,0.059735833,0.088019359,0.042493428,0.017791485,755811,0.817648857,0.799594078,0.636812642,0.162781436,0.018054778,0.182351143,0.832823285,0.147571284,0.078849077,0.068722207,0.056518098,0.012204109,0.008201786,0.339184002,0.04795908,0.008754834,0.006969996,0.026783151,29.1,0.443718072,0.153292291,0.084518484,0.091851005,0.054114058,0.059942234,0.443718072,0.017209329,0.03314056,0.032538558,0.008561664,0.051457309,0.027152291,0.005857284,0.022824489,0.043644509,0.112614132,0.039347138,0.019286568,0.030084241,0.443718072,0.318808538,0.337591012,0.018744104,0.013914854,0.018791735,0.025794808,0.037076729,0.058063458,0.04465799,0.059882696,0.031941848,0.028722789,0.096837701,0.128753088,0.97321288,0.918278511,0.645952493,0.388721519,0.054934369,0.247052504,0.009149113,0.651010636,0.0433574,0.044302081,0.157220522,0.161488785,0.067408386,0.110524986,0.066708476,86.5,27.2,0.933561433,0.686805299,0.062845076,0.012164417,0.112648533,0.00709172,0.052006388,0.066438567,397600
3,0.04958525,0.063877826,0.055037833,0.048091464,0.103084431,0.126632674,0.125499138,0.074847652,0.077250642,0.13154686,0.065256807,0.024772831,757806,0.901154121,0.885218644,0.655902698,0.229315946,0.015935477,0.098845879,0.863986297,0.123554049,0.049176174,0.074377875,0.057050221,0.017327654,0.005193941,0.346144,0.036244105,0.003628897,0.006896224,0.043900418,29.9,0.452647511,0.198028255,0.087808753,0.08969314,0.03596435,0.041153013,0.452647511,0.007606168,0.032413309,0.026166328,0.009621196,0.04938863,0.023211745,0.007973017,0.032980736,0.057452699,0.095614181,0.053909576,0.023800287,0.03250964,0.452647511,0.335139864,0.378381802,0.015746774,0.012232682,0.022578338,0.023276406,0.033851672,0.057828785,0.051939415,0.071804657,0.037952985,0.051170088,0.113979039,0.149616129,0.985042346,0.936714674,0.74029237,0.367419894,0.048327672,0.213588966,0.009241151,0.728891035,0.018337147,0.033115336,0.152590505,0.186855211,0.081222635,0.172924205,0.083845998,92.9,35.2,0.953650407,0.844307118,0.016770783,0.012145589,0.059215683,0.001892305,0.019318929,0.046349593,473100
4,0.05096602,0.061387851,0.057473639,0.060623464,0.129039544,0.128144316,0.128173239,0.072620897,0.06876453,0.115222733,0.051486629,0.021890391,726072,0.802723421,0.783936028,0.612680285,0.171255743,0.018787393,0.197276579,0.87190802,0.116776298,0.07433698,0.042439317,0.03639584,0.006043478,0.00337983,0.370490805,0.058736599,0.017470719,0.009420553,0.029778039,30.4,0.512939488,0.19737712,0.099019106,0.105055697,0.052084366,0.0594032,0.512939488,0.013834716,0.038290968,0.045819147,0.013223207,0.057554898,0.028581188,0.009850263,0.025560826,0.059565718,0.116124847,0.054913287,0.028242378,0.021378045,0.512939488,0.397189259,0.370045946,0.014513712,0.009297976,0.017114005,0.020643958,0.039563569,0.059370145,0.055713483,0.068115834,0.037110645,0.048602618,0.118247226,0.155134752,0.992232175,0.933582344,0.719587038,0.357289635,0.058649831,0.211005245,0.00916438,0.71534228,0.042144581,0.040767307,0.153315374,0.172657808,0.06840093,0.149706916,0.088349365,88.4,33.3,0.943618539,0.624993114,0.066164237,0.005109686,0.116757016,0.003057548,0.127536938,0.056381461,583600
5,0.072658749,0.066444741,0.060506968,0.068433377,0.17446796,0.140195641,0.106317212,0.056190797,0.051567697,0.077336839,0.035920777,0.016249266,781943,0.778391775,0.765407453,0.621205126,0.144202327,0.012984322,0.221608225,0.820387164,0.158896492,0.104006302,0.05489019,0.045952199,0.008937992,0.007817705,0.348425653,0.05140656,0.014267025,0.01158908,0.028821794,26.8,0.474194411,0.169816726,0.098044231,0.102252978,0.041776702,0.062303774,0.474194411,0.003944021,0.035592108,0.022418514,0.013614803,0.059160322,0.029311599,0.007684703,0.030696611,0.058752364,0.100380718,0.046904953,0.020349309,0.045384382,0.474194411,0.340862441,0.359494234,0.016195554,0.017863195,0.031072597,0.034549833,0.040106504,0.063228394,0.048980552,0.057915986,0.026051771,0.023529848,0.082725979,0.108924819,0.993716933,0.930111274,0.597996273,0.434824533,0.063605659,0.260843821,0.007596462,0.658246189,0.046275752,0.042009456,0.166262758,0.156528033,0.052170043,0.130709016,0.064291131,86.6,29.6,0.91189767,0.495976049,0.118113469,0.007164205,0.151678575,0.013603293,0.125362079,0.08810233,356100
6,0.053485809,0.065487109,0.06426068,0.053558496,0.141570676,0.13326188,0.13315351,0.069733357,0.066367284,0.095043004,0.045952782,0.017915387,756668,0.79292107,0.77772418,0.608430646,0.169293534,0.01519689,0.20707893,0.858724037,0.126609028,0.083518796,0.043090232,0.033843112,0.00924712,0.004973119,0.36674605,0.046439125,0.011142271,0.005542722,0.038837376,29.5,0.485781082,0.202099203,0.088807773,0.115222264,0.035321964,0.044329878,0.485781082,0.00312158,0.035833417,0.027253696,0.015244467,0.05082414,0.027171758,0.00715241,0.036833856,0.056356288,0.105556202,0.047575687,0.022864717,0.049992863,0.485781082,0.34934608,0.360489673,0.015276185,0.01132465,0.020505691,0.02182331,0.038591562,0.064872573,0.049395508,0.065867725,0.034264697,0.038567773,0.1028007,0.134660115,0.990233497,0.941687768,0.69998467,0.373108153,0.048545729,0.232096507,0.00684316,0.70299788,0.026053699,0.037469537,0.145279039,0.17988074,0.0771633,0.156044659,0.081106906,91,33.7,0.92426401,0.60410246,0.07236463,0.006153293,0.177500568,0.011460773,0.052682286,0.07573599,421700
7,0.078624547,0.079679419,0.07131787,0.073018384,0.13985547,0.118376466,0.10533505,0.062746177,0.061435537,0.080951347,0.037217739,0.013558483,723311,0.858916842,0.845130241,0.659255839,0.185874403,0.013786601,0.141083158,0.879811036,0.1062254,0.059595388,0.046630011,0.027050605,0.019579406,0.003037421,0.298476036,0.033872014,0.002187164,0.009778643,0.023938527,32.8,0.365620044,0.109138393,0.069038076,0.078607957,0.038538056,0.070297562,0.365620044,0.004536085,0.028240964,0.023731147,0.009709516,0.042840493,0.037181793,0.004088145,0.011274542,0.037566137,0.081634318,0.036444904,0.020769766,0.027602235,0.365620044,0.263587862,0.316216676,0.01916603,0.015252084,0.029029007,0.035217216,0.04323728,0.058335903,0.042837728,0.044072329,0.018545273,0.010523827,0.0776153,0.100973164,0.970246547,0.87887921,0.501997066,0.462571425,0.091367337,0.291494254,0.015617072,0.61947627,0.040127967,0.067253229,0.18097886,0.164919378,0.058747897,0.067712229,0.039736711,82.7,17.3,0.947126478,0.738700227,0.085024284,0.015145629,0.023768476,0.005902026,0.078585837,0.052873522,270000
8,0.062323238,0.084939793,0.076710032,0.063960273,0.136370701,0.127882327,0.119504788,0.063976834,0.054242531,0.08400853,0.039612411,0.01779845,784956,0.780777521,0.767658315,0.65330923,0.114349085,0.013119207,0.219222479,0.89717258,0.090825473,0.052287007,0.038538466,0.031014477,0.007523989,0.002010304,0.325808071,0.052018202,0.013868293,0.004832118,0.019559058,37.8,0.435572185,0.133932348,0.081442782,0.092615382,0.060222484,0.06735919,0.435572185,0.020641921,0.041430348,0.031038682,0.010110121,0.050923873,0.039316853,0.005963392,0.020257186,0.039653178,0.099037398,0.036404588,0.018890231,0.021904412,0.435572185,0.343047254,0.307996881,0.013961292,0.010098655,0.022806374,0.026437151,0.033338174,0.052242419,0.038719368,0.048908474,0.030763508,0.030721467,0.092026814,0.124617176,0.985882011,0.924626348,0.601893609,0.425144849,0.061255663,0.278633452,0.008155871,0.643396573,0.067467476,0.053067943,0.181681521,0.140318693,0.056028618,0.098717635,0.046114687,81.3,22.5,0.890063902,0.530136721,0.0952805,0.006829682,0.162513568,0.007838656,0.087464775,0.109936098,409900
9,0.067808576,0.080587402,0.074496084,0.067906634,0.142277204,0.131099981,0.119882227,0.060896191,0.056150219,0.074930151,0.039705357,0.014746509,764859,0.800099103,0.789928601,0.683476301,0.1064523,0.010170502,0.199900897,0.895060397,0.088344388,0.055588023,0.032756364,0.028043077,0.004713287,0.002490655,0.350416221,0.044916776,0.005163043,0.005204881,0.017322147,34.9,0.437334201,0.121151742,0.077244303,0.098803832,0.063292711,0.076841614,0.437334201,0.021560837,0.042467958,0.042916407,0.014468026,0.053379773,0.036626359,0.005348698,0.0146393,0.040812751,0.085784439,0.041093849,0.018768165,0.01946764,0.437334201,0.345594417,0.312364763,0.012812819,0.010511741,0.023016007,0.025442598,0.037430428,0.057738747,0.042915099,0.058514053,0.024197924,0.019785346,0.091058613,0.114632893,0.992601251,0.927091137,0.607802222,0.412580619,0.065510114,0.276543781,0.010673863,0.639687838,0.065779444,0.05098979,0.190780261,0.165635758,0.051082618,0.084118772,0.031301194,81.7,18,0.947500127,0.767000192,0.035367303,0.00724055,0.073625335,0.007239243,0.057027504,0.052499873,372000
