,date,RegionName,value,Median Income,Region,median_growth,value_growth
0,2001,"San Diego, CA",284093.6666666667,47944.0,San Diego,0.0,0.0
1,2002,"San Diego, CA",324723.1666666667,47867.0,San Diego,-0.1606040380443874,14.301445180638783
2,2003,"San Diego, CA",389029.6666666667,48766.0,San Diego,1.714500250292006,36.93711346375197
3,2004,"San Diego, CA",478591.25,51939.0,San Diego,8.332638077757393,68.46248479081429
4,2005,"San Diego, CA",560713.4166666666,56224.0,San Diego,17.27014850659103,97.36920686956529
5,2006,"San Diego, CA",566807.0,59279.0,San Diego,23.642165860170206,99.5141273828702
6,2007,"San Diego, CA",527665.25,61724.0,San Diego,28.74186550976139,85.7363651190159
7,2008,"San Diego, CA",446684.0833333333,62820.0,San Diego,31.027865843484072,57.23127114179476
8,2009,"San Diego, CA",380890.3333333333,60103.0,San Diego,25.3608376439179,34.07209594018872
9,2010,"San Diego, CA",386399.0833333333,59759.0,San Diego,24.64333388953779,36.01115711836822
10,2011,"San Diego, CA",364717.8333333333,59290.0,San Diego,23.665109294176535,28.379431196987824
11,2012,"San Diego, CA",363242.25,60235.0,San Diego,25.636158851993997,27.860030905300004
12,2013,"San Diego, CA",424258.8333333333,61365.0,San Diego,27.99307525446355,49.33765976244921
13,2014,"San Diego, CA",463657.1666666667,66034.0,San Diego,37.73152010679126,63.20573848296511
14,2015,"San Diego, CA",481283.5833333333,67053.0,San Diego,39.85691640246956,69.41017692521596
15,2016,"San Diego, CA",513501.5,70693.0,San Diego,47.449107291840484,80.75077351249176
16,2017,"San Diego, CA",548294.5,76048.0,San Diego,58.61838811947271,92.99779063477888
17,2018,"San Diego, CA",586531.25,78777.0,San Diego,64.31044551977307,106.45699599075891
18,2019,"San Diego, CA",594906.75,83576.0,San Diego,74.32004004672118,109.40514337407498
19,2020,"San Diego, CA",633279.6666666666,87126.0,San Diego,81.72451193058568,122.91227893147916
20,2021,"San Diego, CA",766797.5833333334,87997.26,San Diego,83.54175704989153,169.91012940567725
21,2001,"Los Angeles-Long Beach-Anaheim, CA",268813.3333333333,41573.0,Los Angeles,0.0,0.0
22,2002,"Los Angeles-Long Beach-Anaheim, CA",306074.4166666667,41506.0,Los Angeles,-0.16116229283429373,13.86132260304549
23,2003,"Los Angeles-Long Beach-Anaheim, CA",364763.9166666667,41544.0,Los Angeles,-0.0697568133163351,35.69413099548635
24,2004,"Los Angeles-Long Beach-Anaheim, CA",457394.8333333333,43518.0,Los Angeles,4.678517306905916,70.1533282079262
25,2005,"Los Angeles-Long Beach-Anaheim, CA",553523.6666666666,48166.0,Los Angeles,15.858850696365433,105.91376915827588
26,2006,"Los Angeles-Long Beach-Anaheim, CA",621237.0833333334,51279.0,Los Angeles,23.346883794770633,131.10352289072966
27,2007,"Los Angeles-Long Beach-Anaheim, CA",607990.25,53494.0,Los Angeles,28.674861087725212,126.17562992907101
28,2008,"Los Angeles-Long Beach-Anaheim, CA",507299.6666666667,55452.0,Los Angeles,33.3846486902557,88.71819354198702
29,2009,"Los Angeles-Long Beach-Anaheim, CA",430268.4166666667,54375.0,Los Angeles,30.794024968128355,60.06215589504491
30,2010,"Los Angeles-Long Beach-Anaheim, CA",430848.0,52595.0,Los Angeles,26.512399874918824,60.27776399980161
31,2011,"Los Angeles-Long Beach-Anaheim, CA",407244.5833333333,52239.0,Los Angeles,25.656074856276902,51.49716655919845
32,2012,"Los Angeles-Long Beach-Anaheim, CA",401815.5833333333,52929.0,Los Angeles,27.31580593173455,49.47754947671248
33,2013,"Los Angeles-Long Beach-Anaheim, CA",471005.4166666667,54443.0,Los Angeles,30.95759266831839,75.21653811814892
34,2014,"Los Angeles-Long Beach-Anaheim, CA",516797.75,55686.0,Los Angeles,33.947514011497844,92.2515314220525
35,2015,"Los Angeles-Long Beach-Anaheim, CA",542606.75,59045.0,Los Angeles,42.02727731941405,101.85261767769455
36,2016,"Los Angeles-Long Beach-Anaheim, CA",578916.8333333334,61308.0,Los Angeles,47.47071416544393,115.3601631863499
